,precision,recall,f1-score,support
java,0.1368870437098543,0.9822934232715008,0.24028875902371946,3558.0
c#,0.16268641676743248,0.9297437374028218,0.2769177994082586,3473.0
javascript,0.13032828981155928,0.983015494636472,0.23014405804178734,3356.0
python,0.8544733861834655,0.5777182235834609,0.6893558702603929,2612.0
android,0.9110953058321479,0.6264058679706601,0.7423935091277891,2045.0
c++,0.7546125461254612,0.4164969450101833,0.536745406824147,1964.0
ios,0.7664526484751204,0.5190217391304348,0.6189241736876215,1840.0
html,0.6892980437284235,0.34131054131054134,0.45655487804878053,1755.0
php,0.8687002652519894,0.4025814382298709,0.5501889962200756,1627.0
.net,0.8095238095238095,0.010834926704907584,0.021383647798742137,1569.0
jquery,0.8187830687830688,0.4024707412223667,0.5396687009590235,1538.0
css,0.844062947067239,0.5216622458001768,0.644808743169399,1131.0
objective-c,0.8,0.0045045045045045045,0.008958566629339306,888.0
c,0.9,0.030508474576271188,0.05901639344262295,885.0
sql,0.6782006920415224,0.22528735632183908,0.3382226056945643,870.0
iphone,0.6896551724137931,0.024783147459727387,0.0478468899521531,807.0
asp.net,0.7727272727272727,0.0422360248447205,0.08009422850412251,805.0
mysql,0.8914027149321267,0.2875912408759124,0.434878587196468,685.0
linux,0.0,0.0,0.0,680.0
node.js,0.8083333333333333,0.14222873900293256,0.24189526184538654,682.0
git,0.8883248730964467,0.6386861313868614,0.743099787685775,274.0
micro avg,0.2220643408243902,0.5391599080014526,0.31456746091301546,33044.0
macro avg,0.675026087133527,0.38616099729743647,0.35720889826286517,33044.0
weighted avg,0.5830053523757881,0.5391599080014526,0.3787095666240284,33044.0
samples avg,0.2302787252485,0.45235554354800583,0.286930746992886,33044.0
