,precision,recall,f1-score,support
java,0.7196831200487508,0.6638560989319843,0.6906432748538012,3558.0
c#,0.6333438785194558,0.5764468758997985,0.6035574314139283,3473.0
javascript,0.6819727891156463,0.5974374255065554,0.6369123252858958,3356.0
python,0.8314757021845742,0.7140122511485452,0.7682801235839342,2612.0
android,0.8461926374180535,0.8205378973105134,0.8331678252234359,2045.0
c++,0.6768433179723502,0.5982688391038696,0.6351351351351351,1964.0
ios,0.7200488997555012,0.6402173913043478,0.6777905638665133,1840.0
html,0.5525739320920043,0.5749287749287749,0.5635297402960067,1755.0
php,0.7665198237885462,0.6416717885679164,0.6985613917698227,1627.0
.net,0.4405010438413361,0.26896112173358827,0.333992876929165,1569.0
jquery,0.7219626168224299,0.6027308192457738,0.6569808646350106,1538.0
css,0.7387198321091291,0.6224580017683466,0.6756238003838773,1131.0
objective-c,0.5192307692307693,0.3952702702702703,0.44884910485933505,888.0
c,0.5772005772005772,0.4519774011299435,0.5069708491761723,885.0
sql,0.5652724968314322,0.5126436781609195,0.537673297166968,870.0
iphone,0.502865329512894,0.4349442379182156,0.46644518272425256,807.0
asp.net,0.5365384615384615,0.34658385093167704,0.42113207547169806,805.0
mysql,0.7243346007604563,0.5562043795620438,0.629232039636664,685.0
linux,0.49355432780847147,0.3941176470588235,0.43826655764513495,680.0
node.js,0.777542372881356,0.5381231671554252,0.6360485268630849,682.0
git,0.8888888888888888,0.7591240875912408,0.8188976377952755,274.0
micro avg,0.6811152025249868,0.5877617721825444,0.6310044022807387,33044.0
macro avg,0.6626316865867183,0.5576436192965988,0.6036995535578624,33044.0
weighted avg,0.676866447910899,0.5877617721825444,0.6275837436925698,33044.0
samples avg,0.49462024247745773,0.4892765076041561,0.47486742110530566,33044.0
