,precision,recall,f1-score,support
java,0.2766443748412766,0.9184935356942102,0.4252163164400494,3558.0
c#,0.4013546370267454,0.665418946156061,0.5007041490629401,3473.0
javascript,0.44414556962025314,0.8364123957091776,0.5801984291029351,3356.0
python,0.8863021115322144,0.6267228177641654,0.7342453464902445,2612.0
android,0.9093830334190232,0.6919315403422983,0.7858928075534574,2045.0
c++,0.7992530345471522,0.43584521384928715,0.5640856672158154,1964.0
ios,0.7679083094555874,0.5826086956521739,0.6625463535228677,1840.0
html,0.7181603773584906,0.347008547008547,0.46792162888974265,1755.0
php,0.8689057421451788,0.4929317762753534,0.6290196078431373,1627.0
.net,0.7804878048780488,0.020395156150414276,0.03975155279503105,1569.0
jquery,0.8257918552036199,0.47464239271781533,0.6028075970272502,1538.0
css,0.8405797101449275,0.5641025641025641,0.675132275132275,1131.0
objective-c,0.8275862068965517,0.02702702702702703,0.05234460196292257,888.0
c,0.7647058823529411,0.10282485875706214,0.18127490039840635,885.0
sql,0.6821705426356589,0.30344827586206896,0.4200477326968973,870.0
iphone,0.7397260273972602,0.06691449814126393,0.12272727272727271,807.0
asp.net,0.7795275590551181,0.12298136645962733,0.21244635193133046,805.0
mysql,0.8892988929889298,0.3518248175182482,0.50418410041841,685.0
linux,0.8709677419354839,0.039705882352941174,0.0759493670886076,680.0
node.js,0.8208955223880597,0.24193548387096775,0.37372593431483575,682.0
git,0.8779342723004695,0.6824817518248175,0.7679671457905544,274.0
micro avg,0.4998701935558312,0.5244219828107978,0.5118518409121118,33044.0
macro avg,0.7510347241963329,0.4093170258683853,0.44658043516214213,33044.0
weighted avg,0.6771892718086113,0.5244219828107978,0.49489675312389564,33044.0
samples avg,0.4243822678509112,0.44256076007789896,0.4137864360788274,33044.0
