,precision,recall,f1-score,support
java,0.21762314203825903,0.9176503653738055,0.3518129411130866,3558.0
c#,0.21013837702524163,0.8701410883961993,0.3385235801501064,3473.0
javascript,0.1624106741292289,0.968414779499404,0.27817006890058626,3356.0
python,0.8808535862477771,0.5689127105666156,0.6913235636194464,2612.0
android,0.9163834126444595,0.6591687041564792,0.7667804323094425,2045.0
c++,0.7947154471544715,0.3981670061099796,0.530529172320217,1964.0
ios,0.7656488549618321,0.5451086956521739,0.6368253968253967,1840.0
html,0.7122207621550591,0.3088319088319088,0.43084260731319557,1755.0
php,0.8753117206982544,0.43146896127842654,0.578015644298065,1627.0
.net,1.0,0.004461440407903123,0.008883248730964468,1569.0
jquery,0.8290282902829028,0.43823146944083224,0.5733730327520203,1538.0
css,0.8440111420612814,0.5358090185676393,0.6554894537587886,1131.0
objective-c,1.0,0.0033783783783783786,0.006734006734006735,888.0
c,0.8536585365853658,0.03954802259887006,0.07559395248380131,885.0
sql,0.6881028938906752,0.24597701149425288,0.36240474174428455,870.0
iphone,0.6666666666666666,0.027261462205700124,0.05238095238095238,807.0
asp.net,0.8360655737704918,0.06335403726708075,0.11778290993071594,805.0
mysql,0.8859649122807017,0.2948905109489051,0.4424972617743702,685.0
linux,1.0,0.0058823529411764705,0.011695906432748537,680.0
node.js,0.8076923076923077,0.18475073313782991,0.3007159904534606,682.0
git,0.8792270531400966,0.6642335766423357,0.7567567567567567,274.0
micro avg,0.2970911310008137,0.5303837307831981,0.3808509713590335,33044.0
macro avg,0.7536058739726226,0.38931629685218555,0.37938722003725783,33044.0
weighted avg,0.6415108577257098,0.5303837307831981,0.40948341088234624,33044.0
samples avg,0.3061728186597323,0.4452405074690712,0.33919358046371656,33044.0
