,precision,recall,f1-score,support
java,0.12015804937354362,1.0,0.214537670716633,3558.0
c#,0.11728749451217453,1.0,0.2099504292104945,3473.0
javascript,0.11333626017358414,1.0,0.20359753693087027,3356.0
python,0.08821046232818885,1.0,0.1621202246842318,2612.0
android,0.0,0.0,0.0,2045.0
c++,0.0,0.0,0.0,1964.0
ios,0.0,0.0,0.0,1840.0
html,0.0,0.0,0.0,1755.0
php,0.0,0.0,0.0,1627.0
.net,0.0,0.0,0.0,1569.0
jquery,0.0,0.0,0.0,1538.0
css,0.0,0.0,0.0,1131.0
objective-c,0.0,0.0,0.0,888.0
c,0.0,0.0,0.0,885.0
sql,0.0,0.0,0.0,870.0
iphone,0.0,0.0,0.0,807.0
asp.net,0.0,0.0,0.0,805.0
mysql,0.0,0.0,0.0,685.0
linux,0.0,0.0,0.0,680.0
node.js,0.0,0.0,0.0,682.0
git,0.0,0.0,0.0,274.0
micro avg,0.10974806659687278,0.3933845781382399,0.17161755386565272,33044.0
macro avg,0.020904393637499578,0.19047619047619047,0.03762885054962998,33044.0
weighted avg,0.043748457355514705,0.3933845781382399,0.07865918877475614,33044.0
samples avg,0.10974806659687278,0.3431478166897437,0.1613703991384583,33044.0
