,precision,recall,f1-score,support
java,0.12032338813341452,0.9997189432265318,0.21479468599033816,3558.0
c#,0.1315986990242682,0.9087244457241578,0.22990347841923148,3473.0
javascript,0.11841676030301931,0.9734803337306317,0.21114881240911296,3356.0
python,0.20189965903555773,0.6347626339969372,0.3063562453806356,2612.0
android,0.18881530537159677,0.6273838630806846,0.2902714932126697,2045.0
c++,0.2841225626740947,0.31160896130346233,0.2972316658572122,1964.0
ios,0.5121951219512195,0.07989130434782608,0.13822284908321578,1840.0
html,0.2765957446808511,0.007407407407407408,0.014428412874583798,1755.0
php,0.1258741258741259,0.011063306699446834,0.020338983050847456,1627.0
.net,0.08080808080808081,0.005098789037603569,0.009592326139088728,1569.0
jquery,0.29292929292929293,0.0188556566970091,0.03543066585216859,1538.0
css,0.8571428571428571,0.005305039787798408,0.01054481546572935,1131.0
objective-c,0.0,0.0,0.0,888.0
c,0.0,0.0,0.0,885.0
sql,0.0,0.0,0.0,870.0
iphone,0.0,0.0,0.0,807.0
asp.net,0.0,0.0,0.0,805.0
mysql,0.0,0.0,0.0,685.0
linux,0.0,0.0,0.0,680.0
node.js,0.0,0.0,0.0,682.0
git,0.0,0.0,0.0,274.0
micro avg,0.1389629809246686,0.4162329015857644,0.20836236933797908,33044.0
macro avg,0.15193912371087517,0.21825241357330935,0.0846792587492778,33044.0
weighted avg,0.1795626718341806,0.4162329015857644,0.14051243004668434,33044.0
samples avg,0.1416883365416005,0.36237603142976144,0.19475473775564958,33044.0
