,precision,recall,f1-score,support
java,0.14876861397479954,0.8760539629005059,0.25434516523867806,3558.0
c#,0.14186521443158612,0.9000863806507342,0.24509957660341852,3473.0
javascript,0.11538860641278406,0.9940405244338498,0.20677472340161773,3356.0
python,0.1979910124240021,0.5735068912710567,0.29436038514442914,2612.0
android,0.3649815043156597,0.43422982885085576,0.3966056275122823,2045.0
c++,0.26763110307414106,0.5274949083503055,0.35509854327335055,1964.0
ios,0.24913323427439327,0.5467391304347826,0.3422932970398095,1840.0
html,0.18576429404900816,0.45356125356125354,0.2635761589403973,1755.0
php,0.6271186440677966,0.022741241548862937,0.04389086595492289,1627.0
.net,0.1497005988023952,0.015933715742511154,0.02880184331797235,1569.0
jquery,0.2878787878787879,0.01235370611183355,0.02369077306733167,1538.0
css,0.0,0.0,0.0,1131.0
objective-c,0.11822660098522167,0.05405405405405406,0.07418856259659969,888.0
c,0.0,0.0,0.0,885.0
sql,0.0,0.0,0.0,870.0
iphone,0.0,0.0,0.0,807.0
asp.net,0.0,0.0,0.0,805.0
mysql,0.0,0.0,0.0,685.0
linux,0.0,0.0,0.0,680.0
node.js,0.0,0.0,0.0,682.0
git,0.0,0.0,0.0,274.0
micro avg,0.15751885647977215,0.4518823386999153,0.23360633296568342,33044.0
macro avg,0.13592610546145598,0.25765693323383837,0.12041550105194332,33044.0
weighted avg,0.17509364866698274,0.4518823386999153,0.1827496816843901,33044.0
samples avg,0.1604234912701361,0.3810447693987595,0.2119612081095989,33044.0
