,precision,recall,f1-score,support
java,0.15250444952962117,0.8428892636312535,0.25827843086595187,3558.0
c#,0.1299564701226751,0.9455801900374317,0.22850781059736283,3473.0
javascript,0.11795385101675271,0.6671632896305125,0.20046557435759693,3356.0
python,0.377734375,0.37021439509954057,0.3739365815931941,2612.0
android,0.2539334793865764,0.6234718826405868,0.3608831021794509,2045.0
c++,0.4565916398713826,0.21690427698574338,0.29409734207801175,1964.0
ios,0.4146520146520147,0.3076086956521739,0.35319812792511707,1840.0
html,0.5348837209302325,0.013105413105413105,0.02558398220244716,1755.0
php,0.12119700748129676,0.29870928088506454,0.17243214475784993,1627.0
.net,0.06762322306363758,0.3244104525175271,0.11191732629727354,1569.0
jquery,0.045454545454545456,0.0188556566970091,0.02665441176470588,1538.0
css,0.0,0.0,0.0,1131.0
objective-c,0.0,0.0,0.0,888.0
c,0.0,0.0,0.0,885.0
sql,1.0,0.0011494252873563218,0.002296211251435132,870.0
iphone,0.0,0.0,0.0,807.0
asp.net,0.0,0.0,0.0,805.0
mysql,0.0,0.0,0.0,685.0
linux,0.0,0.0,0.0,680.0
node.js,0.0,0.0,0.0,682.0
git,0.0,0.0,0.0,274.0
micro avg,0.14885775736790094,0.38748335552596536,0.2150866377174342,33044.0
macro avg,0.1748802274527969,0.22047915343664823,0.11467862123192367,33044.0
weighted avg,0.20389066111814197,0.38748335552596536,0.1776898148953283,33044.0
samples avg,0.14827034998255154,0.3347320252608827,0.19243194694378374,33044.0
