,precision,recall,f1-score,support
java,0.7428881062042807,0.7706576728499157,0.7565181404331631,3558.0
c#,0.6040100250626567,0.7633170169881947,0.6743831086237599,3473.0
javascript,0.6766024795568452,0.7643027413587604,0.7177836854624317,3356.0
python,0.8381391772395232,0.8346094946401225,0.8363706119317093,2612.0
android,0.8850050658561297,0.854278728606357,0.8693704901716844,2045.0
c++,0.6565844578873895,0.7184317718940937,0.6861171893994651,1964.0
ios,0.7036535859269283,0.8478260869565217,0.7690411634212473,1840.0
html,0.5441176470588235,0.7589743589743589,0.6338329764453962,1755.0
php,0.8093023255813954,0.7486170866625691,0.7777777777777778,1627.0
.net,0.425564681724846,0.5283620140216698,0.4714245095251635,1569.0
jquery,0.7216494845360825,0.7282184655396619,0.7249190938511327,1538.0
css,0.7538461538461538,0.7365163572060124,0.7450805008944545,1131.0
objective-c,0.47699386503067487,0.7004504504504504,0.5675182481751825,888.0
c,0.5155339805825243,0.6,0.5545691906005222,885.0
sql,0.5789990186457311,0.6781609195402298,0.6246691371095817,870.0
iphone,0.48151408450704225,0.677819083023544,0.5630468347915595,807.0
asp.net,0.4857142857142857,0.5490683229813664,0.5154518950437318,805.0
mysql,0.7291981845688351,0.7036496350364964,0.7161961367013374,685.0
linux,0.49338146811071,0.6029411764705882,0.542686962276638,680.0
node.js,0.7304189435336976,0.5879765395894428,0.6515028432168969,682.0
git,0.8455598455598455,0.7992700729927007,0.8217636022514072,274.0
micro avg,0.6590952008416736,0.7393777992979058,0.6969320953318214,33044.0
macro avg,0.6523179460349715,0.7120689521801457,0.6771440046716306,33044.0
weighted avg,0.6725801247059682,0.7393777992979058,0.7014730667832058,33044.0
samples avg,0.5521450361915055,0.6025266511318992,0.556699810720276,33044.0
