,precision,recall,f1-score,support
java,0.6453252032520326,0.7138842046093311,0.6778756338404057,3558.0
c#,0.5650285093673636,0.5991937805931471,0.5816098378982671,3473.0
javascript,0.5817633760361718,0.6901072705601907,0.6313207032847212,3356.0
python,0.664711969644705,0.7377488514548239,0.6993286154962802,2612.0
android,0.7243313201035375,0.8210268948655257,0.7696539078615631,2045.0
c++,0.6104651162790697,0.695010183299389,0.6499999999999999,1964.0
ios,0.6305514885309907,0.7021739130434783,0.6644381589097454,1840.0
html,0.4963855421686747,0.5868945868945868,0.5378590078328981,1755.0
php,0.6217481789802289,0.734480639213276,0.6734291349675965,1627.0
.net,0.3271995399654974,0.36265137029955385,0.3440145102781137,1569.0
jquery,0.587936507936508,0.6020806241872562,0.5949245101188564,1538.0
css,0.5773038842345773,0.6702033598585323,0.6202945990180033,1131.0
objective-c,0.37289494787489974,0.5236486486486487,0.4355971896955504,888.0
c,0.41487279843444225,0.47909604519774013,0.4446775039328788,885.0
sql,0.4727272727272727,0.5379310344827586,0.5032258064516129,870.0
iphone,0.3971553610503282,0.44981412639405205,0.42184776292852993,807.0
asp.net,0.39578713968957874,0.4434782608695652,0.4182776801405975,805.0
mysql,0.5428211586901763,0.6291970802919709,0.5828262339418526,685.0
linux,0.3472972972972973,0.3779411764705882,0.3619718309859155,680.0
node.js,0.4969418960244648,0.47653958944281527,0.48652694610778446,682.0
git,0.6843853820598007,0.7518248175182481,0.7165217391304348,274.0
micro avg,0.5624564226334138,0.6347294516402373,0.596411408422669,33044.0
macro avg,0.5313158995403627,0.5992822122950228,0.5626772053724575,33044.0
weighted avg,0.563608097295062,0.6347294516402373,0.5966291411282083,33044.0
samples avg,0.4773953855629584,0.5206038296578974,0.47703526628081694,33044.0
