,precision,recall,f1-score,support
java,0.7373955244001078,0.768690275435638,0.7527177652401266,3558.0
c#,0.611151339608979,0.7290526921969479,0.6649159663865546,3473.0
javascript,0.6642449403217436,0.7628128724672228,0.7101248266296811,3356.0
python,0.8244620611551529,0.8361408882082695,0.8302604067667743,2612.0
android,0.875,0.8488997555012225,0.8617522958550509,2045.0
c++,0.636322463768116,0.7153767820773931,0.6735378715244488,1964.0
ios,0.7058275058275059,0.8228260869565217,0.7598494353826851,1840.0
html,0.5288836846213896,0.7720797720797721,0.6277507528376187,1755.0
php,0.7666256157635468,0.7652120467117394,0.7659181790218395,1627.0
.net,0.36913010007698227,0.6112173358827279,0.4602831773458123,1569.0
jquery,0.7414395527603075,0.6898569570871261,0.7147187605254295,1538.0
css,0.7219882055602359,0.757736516357206,0.7394305435720449,1131.0
objective-c,0.463360473723168,0.704954954954955,0.5591782045556052,888.0
c,0.4939870490286771,0.6033898305084746,0.54323499491353,885.0
sql,0.5590118938700823,0.7022988505747126,0.6225165562913907,870.0
iphone,0.4372707263389582,0.7385377942998761,0.5493087557603687,807.0
asp.net,0.4497098646034816,0.577639751552795,0.5057096247960847,805.0
mysql,0.7338582677165354,0.6802919708029197,0.706060606060606,685.0
linux,0.4824242424242424,0.5852941176470589,0.5289036544850498,680.0
node.js,0.6936619718309859,0.5777126099706745,0.6304000000000001,682.0
git,0.8275862068965517,0.7883211678832117,0.8074766355140186,274.0
micro avg,0.6382717660879781,0.7398922648589759,0.6853354637065692,33044.0
macro avg,0.6344448423950834,0.7161115728169746,0.6673356673078439,33044.0
weighted avg,0.6584775052023953,0.7398922648589759,0.6927679588113388,33044.0
samples avg,0.5367926333682302,0.6016390305404523,0.5472437848868905,33044.0
