,precision,recall,f1-score,support
java,0.4524402390438247,0.5106801573917932,0.47979931344071824,3558.0
c#,0.32971916103803767,0.534120357040023,0.40773711396856793,3473.0
javascript,0.3974218920690409,0.5420143027413588,0.45859069708811295,3356.0
python,0.7548794489092997,0.5034456355283308,0.6040422599908132,2612.0
android,0.6477611940298508,0.530562347188264,0.5833333333333334,2045.0
c++,0.5017015070491007,0.5254582484725051,0.513305147973141,1964.0
ios,0.5241057542768274,0.5494565217391304,0.5364818254178827,1840.0
html,0.404985696771557,0.5646723646723647,0.4716801523084246,1755.0
php,0.7082945013979497,0.46711739397664415,0.562962962962963,1627.0
.net,0.22149302707136997,0.3441682600382409,0.2695283254304966,1569.0
jquery,0.3345740281224152,0.5260078023407022,0.40899898887765423,1538.0
css,0.45725190839694657,0.5296198054818745,0.4907824662023761,1131.0
objective-c,0.3055780113177041,0.42567567567567566,0.355764705882353,888.0
c,0.29294369208838206,0.46440677966101696,0.35926573426573427,885.0
sql,0.4905847373637265,0.5689655172413793,0.5268759978712081,870.0
iphone,0.2752463054187192,0.5539033457249071,0.36774989716166184,807.0
asp.net,0.22996515679442509,0.3279503105590062,0.27035330261136714,805.0
mysql,0.32237539766702017,0.44379562043795623,0.3734643734643735,685.0
linux,0.34506089309878213,0.375,0.35940803382663844,680.0
node.js,0.3340857787810384,0.21700879765395895,0.2631111111111111,682.0
git,0.24916943521594684,0.2737226277372263,0.2608695652173913,274.0
micro avg,0.40866641763167727,0.49661057983295,0.44836678096695304,33044.0
macro avg,0.40855417932961735,0.465607231966779,0.4249573956383963,33044.0
weighted avg,0.4446617460116672,0.49661057983295,0.4580772770338173,33044.0
samples avg,0.30929537125038803,0.39224556189704274,0.32488351482813,33044.0
