,precision,recall,f1-score,support
java,0.43748505857040404,0.5143338954468802,0.4728071308616458,3558.0
c#,0.27544628875665517,0.5064785488050677,0.35683132163505427,3473.0
javascript,0.34146341463414637,0.533969010727056,0.4165504416550442,3356.0
python,0.6689386562804285,0.5260336906584993,0.5889412773253323,2612.0
android,0.6161356628982528,0.5863080684596577,0.6008519168128289,2045.0
c++,0.4036624203821656,0.5162932790224033,0.453083109919571,1964.0
ios,0.534844192634561,0.5130434782608696,0.5237170596393897,1840.0
html,0.3924375917767988,0.6091168091168091,0.4773386916722483,1755.0
php,0.7557251908396947,0.48678549477566074,0.5921495327102805,1627.0
.net,0.15422498703991705,0.3792224346717655,0.21927400036852773,1569.0
jquery,0.340437464946719,0.39466840052015606,0.36555254441433305,1538.0
css,0.38461538461538464,0.5260831122900088,0.4443614637789395,1131.0
objective-c,0.2876712328767123,0.3547297297297297,0.3177004538577912,888.0
c,0.3125581395348837,0.37966101694915255,0.3428571428571428,885.0
sql,0.48114075436982523,0.6011494252873564,0.5344915687276444,870.0
iphone,0.27796610169491526,0.5080545229244114,0.35933391761612626,807.0
asp.net,0.11358473421172194,0.3105590062111801,0.16633399866932802,805.0
mysql,0.2064466615502686,0.3927007299270073,0.2706237424547283,685.0
linux,0.41598360655737704,0.2985294117647059,0.3476027397260274,680.0
node.js,0.13004484304932734,0.2126099706744868,0.16138007790762382,682.0
git,0.09856262833675565,0.17518248175182483,0.126149802890933,274.0
micro avg,0.35409872190392244,0.4862910059314853,0.4097980210139753,33044.0
macro avg,0.36330357216937686,0.4440720246654615,0.38752056835716864,33044.0
weighted avg,0.40456901679345764,0.4862910059314853,0.4294521496232799,33044.0
samples avg,0.28450913511870585,0.3850325892404849,0.30582363482468167,33044.0
